tweet_id_customer,text_customer,suggested_intent,suggested_escalation,intent,escalation,reviewed_by_me,claude_note,tweet_id_reply,text_reply,created_at_customer,created_at_reply,model_predicted_intent,model_agrees_with_label
181908,Has anyone ever flown @AmericanAir? Reply about your experience. I'm flying to Italy in June in coach so let me know.,general_other,auto,general_other,auto,,"Crowd-sourcing opinions, not a support request.",181907,"@158750 *as one of your followers* AA is fantastic, and we 100% say you choose American!",Sat Nov 25 01:35:30 +0000 2017,Sat Nov 25 01:38:16 +0000 2017,general_other,True
2059844,Killing the game with your freshly baked snickerdoodles @AmericanAir 🤤,praise,auto,praise,auto,,,2059843,@609207 We're so glad you're enjoying them!,Sun Oct 29 02:19:00 +0000 2017,Sun Oct 29 02:52:58 +0000 2017,praise,True
879655,@AmericanAir this is completely UNACCEPTABLE!,general_other,escalate,general_other,escalate,,"Context-free outrage; thread fragment, no issue stated.",879654,@328316 We see your DM and will respond to you there.,Fri Oct 13 16:21:43 +0000 2017,Fri Oct 13 16:38:33 +0000 2017,general_other,True
2764683,@AmericanAir That’s really the only response you have?,general_other,escalate,general_other,escalate,,Dissatisfied with AA's own reply; fragment.,2764682,@773291 Please let us know if we can help get you rebooked.,Tue Nov 21 08:35:15 +0000 2017,Tue Nov 21 08:36:21 +0000 2017,general_other,True
2018269,@AmericanAir Thank you AA. Bags out very quickly on return from SJU to PHL,praise,auto,praise,auto,,"Praise about bags; still praise, not baggage_issue.",2294059,@596862 Yay! We’re glad to hear it.,Sat Nov 11 23:16:53 +0000 2017,Sat Nov 11 23:18:52 +0000 2017,praise,True
2687179,"@AmericanAir is slack right now, smh",general_other,auto,general_other,auto,,,2687178,@755627 How can we help you today?,Sun Nov 19 13:31:24 +0000 2017,Sun Nov 19 13:34:45 +0000 2017,general_other,True
539333,Gotta love @AmericanAir ✈️ 🇲🇽 https://t.co/Wacs4NCqL3,praise,auto,praise,auto,,,539332,"@245066 Good morning, Christian! It's so great to have you with us. We're ready to take you away.",Sat Dec 02 14:26:12 +0000 2017,Sat Dec 02 14:31:00 +0000 2017,praise,True
1047440,@AmericanAir I had to call to rebook and pay $400 for a new flight-there were no agents at @45721. That was the issue.,general_other,escalate,general_other,escalate,,Paid $400 after no agents available. Ambiguous: refund_compensation (implicit) vs seating_booking (rebooking).,1047441,@367571 The LAN team moves back and forth from the counter to the gate area after the check-in cut-off time.,Mon Oct 23 13:35:21 +0000 2017,Mon Oct 23 13:43:43 +0000 2017,refund_compensation,False
598632,Final business trip of 2017.  7th trip to Florida alone. Thankful for @AmericanAir and #AAdvantage and the great service all year. #SMF to #PHX to #MCO #AA #BusinessTravel #AmericanAir,praise,auto,praise,auto,,,598631,"@261956 We truly enjoyed sharing the skies with you this year, John. Happy holidays from our family to yours! #AATeam",Sun Dec 03 20:09:10 +0000 2017,Sun Dec 03 20:14:21 +0000 2017,praise,True
2487500,"@AmericanAir So, yes—unless people are willing to pay extra after already purchasing their tickets, they will not be seated together so that more money can be made by someone else purchasing a seat. Noted.",seating_booking,escalate,seating_booking,escalate,,Seats-together / paid seat selection complaint.,2487501,@710455 If you don't wish to purchase premiums seats our agents will do their best to seat you together on the day of departure.,Wed Nov 15 20:44:18 +0000 2017,Wed Nov 15 20:58:17 +0000 2017,seating_booking,True
2839448,@AmericanAir pls get new plane for #2555 DFW-MCO..I’m begging. This is the only day I can see the mouse @122197 😭,flight_disruption,auto,flight_disruption,auto,,"Aircraft-swap plea, light tone.",2839445,@790182 We don't want you to miss #Mickey. Our Maintenance team is finishing up preparing for departure and we're estimated to leave now at 11a.,Mon Nov 27 16:09:09 +0000 2017,Mon Nov 27 16:18:54 +0000 2017,flight_disruption,True
2378409,"@AmericanAir And they're like, “but don't worry about it, we will not charge you” Oh so I should be thankful for not having a direct flight? You guys at least should have some time of compensation, specially for the ones that always fly with you @AmericanAir and then you treat us like shit",refund_compensation,escalate,refund_compensation,escalate,,Compensation explicitly raised.,2378408,@685919 Sounds like there was a schedule change. Give us a call at 800-433-7300 to check options.,Tue Nov 14 02:52:08 +0000 2017,Tue Nov 14 03:44:00 +0000 2017,refund_compensation,True
2024888,"@AmericanAir When you have to land our plane early because she goes into anaphylactic shock because of your lack of accommodations, that’s on YOUR ass",general_other,escalate,general_other,escalate,,Medical accommodation failure; taxonomy has no medical class. Safety-sensitive.,2024886,@598814 We can’t guarantee the removal of nut allergens. We strongly encourage those with allergies to take necessary precautions prior to flying.,Mon Nov 06 15:03:57 +0000 2017,Mon Nov 06 15:24:11 +0000 2017,general_other,True
367063,"Hey @AmericanAir thanks for the seat upgrades, just wish it wasn't on a flight that was almost 4 hours late. #LGAtoDTW #AA1996",flight_disruption,auto,flight_disruption,auto,,"Mixed: thanks for upgrade + 4h delay. Not pure praise, so main issue = delay.",367062,"@202947 Our apologies for the wait, but we're happy that you got to be #UpFront with us!",Sun Oct 08 20:23:37 +0000 2017,Sun Oct 08 20:56:44 +0000 2017,flight_disruption,True
515593,Mientras la app de @192593 vale Paloma. La de @AmericanAir si funciona! #vegas #Ec #mexico #peru #worldtour https://t.co/lkot3lzEnZ,praise,auto,praise,auto,,Spanish; praises AA app vs competitor.,515592,@237237 We'll see you soon for your Vegas getaway!,Sat Dec 02 00:19:29 +0000 2017,Sat Dec 02 00:29:12 +0000 2017,general_other,False
1205090,All kinds of gains on this @americanair inflight meal. About time there more healthier meal options. #inflightserv… https://t.co/ONcyvVIdix https://t.co/FoaWHzzuOm,praise,auto,praise,auto,,Positive on meal options despite 'about time'.,1205089,@403053 Thanks so much for letting us know what you think about our new meals. We appreciate you very much and have a great trip!,Tue Oct 31 03:15:22 +0000 2017,Tue Oct 31 03:21:47 +0000 2017,praise,True
2210135,All my @AmericanAir miles apparently expired on Nov 1 😭 That's what I get for not checking the expiration date and waiting to buy my reward ticket home. #goodbye37422miles,general_other,escalate,general_other,escalate,,Miles expiry = loyalty -> general_other per taxonomy; wants reinstatement.,2210133,"@646016 Give our AAdvantage Customer Service team a call to check options, Stephanie. https://t.co/l7FeGMUy12",Fri Nov 10 03:11:44 +0000 2017,Fri Nov 10 03:29:37 +0000 2017,general_other,True
2239150,@AmericanAir I’m already there.  And there better be PB&amp;J trail mix in the Admirals Club in CLT.,general_other,auto,general_other,auto,,Banter.,2239149,"@481634 Now you're talking, Patrick. A great snack before we fly you to #MusicCity.",Fri Nov 10 13:13:54 +0000 2017,Fri Nov 10 13:18:19 +0000 2017,general_other,True
2309562,@AmericanAir This is the worst customer service I've ever experienced. The lack of communication to the passengers of flight 2295 in St. Lucia is unacceptable. You have left your passengers stranded for hours without any answers. I can 100% say I will never fly your airline again,flight_disruption,escalate,flight_disruption,escalate,,"Stranded, no communication. Strong staff_complaint overlap ('worst customer service').",2309560,"@669862 We're so sorry for the extra travel time, Kaitlyn. We'll have you on your way at noon.",Mon Nov 13 03:13:38 +0000 2017,Mon Nov 13 03:28:15 +0000 2017,staff_complaint,False
2264327,"@AmericanAir , late for take off= sitting at MIA on plane for 30 mins again, that’s two strikes on the same vacation trip. Time to go back to @SouthwestAir",flight_disruption,auto,flight_disruption,auto,,,2264325,"@477047 We're sorry for the wait on the tarmac, Dana. Unexpected delays have cause a bit of a wait for an open gate. Thanks for your patience",Sat Nov 11 02:38:08 +0000 2017,Sat Nov 11 03:39:45 +0000 2017,flight_disruption,True
2454680,@AmericanAir I was verbally harassed by two male passengers while traveling alone with my two kids. Air line attendants continued to supply them with alcohol as they continued to be unruly. I asked three times for the staff to speak with them. Back of view of what was left https://t.co/Cq65K5RMYA,staff_complaint,escalate,staff_complaint,escalate,,"Harassment ignored by crew; safety-sensitive, must go to a human.",2454679,@703179 Please DM your record locator and details. We'd like to review this with our team.,Wed Nov 15 03:41:41 +0000 2017,Wed Nov 15 03:42:12 +0000 2017,staff_complaint,True
157177,@AmericanAir When are all domestic flying aircraft going to have TV screens on seat backs? This century or next? Flew from Boston on 1506 Tuesday and was extremely disappointed in the old grossness of your cabin on this flight. Not a good experience.,general_other,auto,general_other,auto,,"Cabin/product complaint (IFE, cleanliness).",1917708,"@571141 We're continuing to update our planes and you'll see more screens soon. We're on track to have the most modern fleet, on average, by 2018.",Sat Nov 25 14:09:51 +0000 2017,Sat Nov 25 14:14:36 +0000 2017,general_other,True
1266633,@AmericanAir what’s the point of miles and upgrades? Impossible to use anymore!!,general_other,auto,general_other,auto,,Loyalty/miles venting.,1266631,@416577 We do our best to upgrade as many as people as we can on the list based on availability. It may not become available though til last minute.,Tue Oct 24 12:35:04 +0000 2017,Tue Oct 24 12:37:24 +0000 2017,seating_booking,False
2807958,@AmericanAir I filed the claim &amp; called ur 1-800 over an hour ago. They cant confirm where my bag is in CLT or that it’ll make flight departing tonight,baggage_issue,escalate,baggage_issue,escalate,,"Open bag claim, unresolved.",2807960,@783108 We'll provide updates when we have them here: https://t.co/Lts67cwTlN,Mon Nov 27 01:35:38 +0000 2017,Mon Nov 27 01:52:09 +0000 2017,baggage_issue,True
835877,Morning nonsense at @124202. @AmericanAir personnel force TSAPrecheck into long line just to check boarding pass before security. Why? https://t.co/JvMGkdPfsQ,staff_complaint,escalate,staff_complaint,escalate,,AA personnel behaviour at checkpoint. Arguable general_other (process).,835875,"@318988 Sorry for the frustration, David. We'll get you taken care of as quickly as possible.",Fri Oct 13 08:52:51 +0000 2017,Fri Oct 13 08:53:26 +0000 2017,staff_complaint,True
1095298,@AmericanAir Please follow me for DM,general_other,escalate,general_other,escalate,,Asking for DM handoff -> human.,1095297,@378470 We've sent you a DM. Please let us know how we can help.,Mon Oct 23 20:34:05 +0000 2017,Mon Oct 23 21:22:13 +0000 2017,general_other,True
2578125,Hey @AmericanAir finicky flyer here- just gotta say your cabin crew on AA106 are amazing this holiday weekend! Made and entire oversold plane happy and comfortable on our flight!,praise,auto,praise,auto,,,2578124,@716198 That's awesome to hear! Our team's the best in the biz and we definitely appreciate the positivity. #AATeam,Sun Nov 26 20:27:57 +0000 2017,Sun Nov 26 20:50:14 +0000 2017,praise,True
2620121,Got to meet @19046 in the @122128 this morning!  Thanks for flying @AmericanAir and talking football for a few minutes 😎 https://t.co/aWZBE9RA5g,praise,auto,praise,auto,,,2620120,"@740385 Wow, how exciting, Russ. We're sure he enjoyed the chat. Thanks for taking great care of our customers!",Fri Nov 17 15:20:14 +0000 2017,Fri Nov 17 15:25:29 +0000 2017,praise,True
1709541,@AmericanAir the lack of “Loaded in PHL” on AA739 is adding some suspense to my BOS arrival. https://t.co/kG4ARxSOQ1,baggage_issue,auto,baggage_issue,auto,,"Bag-tracking status, joking tone. Arguable general_other.",1709540,@207897 Sorry for the suspense! We're showing that your bag arrived on an earlier flight to BOS. Please see an agent upon arrival.,Mon Nov 06 23:52:06 +0000 2017,Tue Nov 07 00:40:04 +0000 2017,baggage_issue,True
279038,@AmericanAir Any further updates on ETD?,flight_disruption,auto,flight_disruption,auto,,Asking for revised departure time.,279040,@182366 We're currently showing you're estimated to depart at 12a. We've got our #WingsCrossed for you!,Fri Oct 06 09:09:52 +0000 2017,Fri Oct 06 09:13:51 +0000 2017,flight_disruption,True
1619027,"@AmericanAir ""As soon as possible"" doesn't get me to my connection in time.",flight_disruption,escalate,flight_disruption,escalate,,Connection at risk.,1619026,"@496331 We'd be happy to rebook your connection, if needed. Please follow and move into DMs with your 6-letter booking code.",Sun Nov 05 16:09:27 +0000 2017,Sun Nov 05 16:12:09 +0000 2017,flight_disruption,True
124198,"Really @AmericanAir, you can just move a flight up 6 hours?!",flight_disruption,escalate,flight_disruption,escalate,,Schedule change pulled forward 6h. Arguable seating_booking (rebooking).,124196,"@143785 We're so sorry, Marissa. Schedule changes can occur based on operation needs. Please contact Reservations at 800-433-7300 for rebooking.",Fri Nov 24 01:28:04 +0000 2017,Fri Nov 24 01:42:11 +0000 2017,flight_disruption,True
2959658,@AmericanAir Will American inform passengers if their flight is going to be affected? And how far out before departure date will the passenger be notified?,general_other,auto,general_other,auto,,"Policy question about notifications, not an active disruption.",2959660,@816853 We know your holiday plans are important. Flights are not cancelled at this time. We’re planning on operating our usual schedule.,Wed Nov 29 21:37:40 +0000 2017,Wed Nov 29 21:43:22 +0000 2017,flight_disruption,False
2484466,Back on AA MIA-BOS and you guessed it... no entertainment available.! @AmericanAir #AmericanAirlines,general_other,auto,general_other,auto,,In-flight entertainment unavailable.,2484464,"@709764 If a seat back screen isn't offered on your flight, you can stream from your personal device. Here’s more info: https://t.co/RcjsILm7Rc",Wed Nov 15 15:31:18 +0000 2017,Wed Nov 15 15:33:03 +0000 2017,general_other,True
2827023,#JustAnotherDayInTheOffice @AmericanAir https://t.co/OZbPXktHSj,general_other,auto,general_other,auto,,"Hashtag + image only, no text signal.",2827022,"@787442 Happy to have you on board, Hector!",Mon Nov 27 10:44:46 +0000 2017,Mon Nov 27 10:45:36 +0000 2017,general_other,True
2525601,"@AmericanAir how do you explain your website then? https://t.co/xWf4TlfyK5 says i can do it online, but can't get the complimentary standby for free if website charges https://t.co/qzbMVM0mYP",seating_booking,escalate,seating_booking,escalate,,Standby charged online vs policy.,2525602,@719167 We only offer standby for our elite members so the only choice you'd have is the Same Day Flight Change for $75.,Thu Nov 16 20:36:30 +0000 2017,Thu Nov 16 21:12:50 +0000 2017,seating_booking,True
305011,"So @AmericanAir is anti-family &amp; anti-baby?! Pregnant wife w/ doc note can't fly 2 CostaRica b/c #Zika - no help! No refund, 6 hrs on phone!",refund_compensation,escalate,refund_compensation,escalate,,Refund explicitly refused; Zika/medical. Sensitive.,305009,"@188818 You're welcome to cancel the ticket and reuse it at a later time, minus the applicable change charge.",Mon Oct 30 23:57:49 +0000 2017,Tue Oct 31 00:11:34 +0000 2017,refund_compensation,True
125484,Thankful for @AmericanAir and it’s excellent service on thanksgiving day #ourthanksgivingdinner https://t.co/VCDwxyIw18,praise,auto,praise,auto,,,125483,@144141 We love to be able to keep our customers in #GoodSpirits during the holidays. Enjoy!,Fri Nov 24 02:30:18 +0000 2017,Fri Nov 24 02:38:15 +0000 2017,praise,True
1131528,@AmericanAir LQNKDB,general_other,escalate,general_other,escalate,,Record locator only; meaningless without thread context.,1131527,"@251758 Thanks, for security, please erase that from mentions and then follow and verify your full name in DMs.",Tue Oct 24 12:08:32 +0000 2017,Tue Oct 24 12:11:38 +0000 2017,general_other,True
938412,@AmericanAir Ok thx. And what about to Atlanta? Are there any later flights for that?,seating_booking,escalate,seating_booking,escalate,,Asking for later flights -> rebooking.,938415,@123590 The latest out of ATL is 3:50p.,Sun Oct 22 06:48:56 +0000 2017,Sun Oct 22 07:13:42 +0000 2017,general_other,False
2568643,@AmericanAir Top-notch 2day! There was a medical issue on board &amp; staff handled it perfectly!! God bless you AA w/many more fly miles!! 🙏🏻👍🏼,praise,auto,praise,auto,,,2568641,"@371353 We'd love to share your praises with our leaders, Sheila. Please give us a follow and then DM your 6-letter booking code. #AATeam",Mon Oct 30 16:02:01 +0000 2017,Mon Oct 30 16:05:12 +0000 2017,praise,True
1140245,Please @AmericanAir I'm begging you! Get another WiFi vendor @116462 is SO SLOW. How's a #RoadWarrior supposed to work in the air?,general_other,auto,general_other,auto,,Wi-Fi vendor complaint.,1140244,@118406 We're hard at work to bring the newest technologies to the sky for you. #SpeedCounts,Sun Oct 15 15:16:02 +0000 2017,Sun Oct 15 15:55:28 +0000 2017,general_other,True
115500,@AmericanAir on another flight. Our pre picked meals didn’t transfer over to the flight change. 😡... who eats shrimp 🍤 now I won’t have food.,general_other,auto,general_other,auto,,Pre-ordered meal lost in flight change. Arguable seating_booking.,115498,"@141674 We see that you were affected by a schedule change however, we're not showing you requested a meal. Our apologies for any inconvenience.",Thu Nov 23 19:49:56 +0000 2017,Thu Nov 23 21:17:31 +0000 2017,seating_booking,False
2737002,.@AmericanAir My wife and I are in Israel without our luggage! We arrived on time but we really want our luggage! I am wearing sweat pants it is not pretty! WE WANT OUR BAGS!!!,baggage_issue,escalate,baggage_issue,escalate,,Bags missing abroad.,2737001,@564456 Not having your things can be frustrating and we're trying to get it back to you. Please file a baggage report with our team at the airport.,Mon Nov 20 20:15:59 +0000 2017,Mon Nov 20 20:19:07 +0000 2017,baggage_issue,True
1674306,"I am never 100% comfortable flying, but after hearing the track record of discrimination with @AmericanAir, I am scared to fly with them.",general_other,escalate,general_other,escalate,,Discrimination concern; reputational and sensitive.,1674303,@509436 We're a globally diverse company and do not tolerate discrimination of any kind.,Mon Nov 06 13:49:20 +0000 2017,Mon Nov 06 13:56:48 +0000 2017,general_other,True
1237240,Hi @AmericanAir you guys should consider cleaning your planes. This is pretty gross https://t.co/xsf3As89G9,general_other,auto,general_other,auto,,Cabin cleanliness with photo.,1237238,"@410218 Our planes get a quick clean between flights, and a thorough clean nightly. Let our crewmembers know if you need assistance.",Thu Oct 26 02:14:05 +0000 2017,Thu Oct 26 02:14:50 +0000 2017,general_other,True
2633497,"Love that @AmericanAir has soy creamer in the Admirals Club, but it should be in-flight, too! Can you please add #vegan creamer to EVERY American Air experience?",praise,auto,praise,auto,,Positive framing + product request. Arguable general_other.,2633496,@743351 We appreciate all feedback. We'll forward it on to our team.,Fri Nov 17 18:41:59 +0000 2017,Fri Nov 17 18:47:19 +0000 2017,general_other,False
452300,@AmericanAir AA 3202 Dallas Ft Worth to Knoxville.,general_other,escalate,general_other,escalate,,Flight-number fragment supplied inside a thread.,452326,@222286 We're currently showing that your flight is estimated to depart at 4:45p. We'll working to get this resolved and have you wheel's up soon.,Thu Nov 30 21:58:08 +0000 2017,Thu Nov 30 22:04:54 +0000 2017,general_other,True
2169372,@AmericanAir Why don’t the same rules apply to domestic flights? Makes NO sense.,general_other,auto,general_other,auto,,Policy question.,2169370,@636394 We offer one day passes for purchase in many locations to visit the Club. Please see more info at: https://t.co/JYv26kWUoP,Thu Nov 09 12:24:45 +0000 2017,Thu Nov 09 12:26:52 +0000 2017,general_other,True
854110,@AmericanAir I did how ever report to customer relations in the damaged baggage,baggage_issue,escalate,baggage_issue,escalate,,Damaged-baggage claim already filed.,854109,"@322865 Please file a report with our Baggage team directly, they can assist via 800-535-5225. https://t.co/c2WPmpJSpV",Mon Oct 09 14:07:56 +0000 2017,Mon Oct 09 14:46:53 +0000 2017,baggage_issue,True
2482511,"Hey, @AmericanAir you’ve had Flt 104 DCA to JFK sitting on tarmac for 45 minutes, and now want us to stay seated on tarmac another 45 min?",flight_disruption,escalate,flight_disruption,escalate,,"Tarmac hold, ongoing.",2482509,@554164 You should be in the air very shortly. Our sincere apologies for the wait this evening.,Sun Oct 29 23:15:56 +0000 2017,Sun Oct 29 23:25:05 +0000 2017,flight_disruption,True
2504195,"@AmericanAir @272645 Consistent? Your airline is a joke! Your attendant told us to find our own hotel and we'd be reimbursed. Now your not owning up to what was promised. AA could have booked the hotel, but left 3 women (child and elderly) to fend for themselves at 12am. Your company is disgraceful!!",refund_compensation,escalate,refund_compensation,escalate,,Promised hotel reimbursement not honoured.,2504197,@714178 Our offer to take a closer look at what happened is still available. Please DM us the details and your flight info.,Mon Nov 20 14:37:31 +0000 2017,Mon Nov 20 14:40:41 +0000 2017,refund_compensation,True
2818265,@AmericanAir your baggage policy is THE WORST in the industry. WORST,baggage_issue,auto,baggage_issue,auto,,"Policy venting, no specific bag problem.",2818263,"@785596 What's going on, Steve? How can we help?",Mon Nov 27 04:17:27 +0000 2017,Mon Nov 27 04:34:51 +0000 2017,baggage_issue,True
2625746,En diciembre por @AmericanAir CLO-MIA no incluye equipaje? Es esta una aerolínea de bajo costo? Que B O L E T A! #QG,baggage_issue,auto,baggage_issue,auto,,Spanish; asks whether checked bag is included.,2625745,@741685 We'll gladly take a look to verify the rules of the fare and baggage requirements. Please DM the record locator.,Mon Oct 30 23:11:10 +0000 2017,Mon Oct 30 23:38:59 +0000 2017,baggage_issue,True
1625215,@AmericanAir our flight has been delayed twice. Delayed again. Then the agent tells us we could have rebooked our flight to an earlier one.,flight_disruption,escalate,flight_disruption,escalate,,Repeat delays + missed rebooking option.,1625214,"@497710 We want to make sure you're informed of all available options and if you continue working with our agents, they'll assist with rebooking.",Sun Nov 05 16:53:59 +0000 2017,Sun Nov 05 17:34:04 +0000 2017,flight_disruption,True
2533648,"@AmericanAir Anyway, at least flight crew was nice... Seriously uncool way to start the week.",general_other,auto,general_other,auto,,Fragment mixing praise for crew with complaint.,2533647,@401303 We do our best to notify our customers. Please be sure to sign up with us at: https://t.co/h88H9iXqqT,Mon Oct 30 12:16:38 +0000 2017,Mon Oct 30 12:59:04 +0000 2017,general_other,True
1077589,@AmericanAir Now deplaning with no guidance what’s so ever. But hey your app says the flight is now rescheduled for 6:30am the next day. That makes sense,flight_disruption,escalate,flight_disruption,escalate,,"Deplaning, overnight reschedule.",1077592,@374215 We're happy to take a peek for you. Please DM your record locator.,Sun Oct 15 01:16:26 +0000 2017,Sun Oct 15 01:30:16 +0000 2017,flight_disruption,True
1826389,@AmericanAir 😁😁😁😁,praise,auto,praise,auto,,"Emoji-only; thread-dependent, low-confidence label.",1826391,@298141 We're counting down the days!,Wed Oct 18 05:13:54 +0000 2017,Wed Oct 18 05:16:39 +0000 2017,praise,True
2729555,Okay no bad feelings @AmericanAir ! Our bag of merch delivered straight to the venue ❤️ https://t.co/MugbDS2AGU,praise,auto,praise,auto,,Positive resolution of a bag problem. Arguable baggage_issue.,2729554,@761235 We're happy to hear you've been reunited with your bag. Have a great Thanksgiving week!,Mon Nov 20 14:34:34 +0000 2017,Mon Nov 20 14:41:36 +0000 2017,praise,True
1377830,"@AmericanAir Hey - can't access your website - called tech support. Was told ""I don't have an answer for you."" Help?",general_other,escalate,general_other,escalate,,Website broken + tech support unhelpful; staff_complaint overlap.,1377828,@440763 We're happy to assist if we can. Let's meet in DMs with your record locator and what you're needing help with.,Sat Oct 28 03:10:09 +0000 2017,Sat Oct 28 03:19:18 +0000 2017,general_other,True
1613439,@AmericanAir Might want to explain to crew that Costa Rica does not have DST so they don't mistakenly set their watches back and oversleep their flight.,staff_complaint,escalate,staff_complaint,escalate,,Crew overslept -> caused disruption; staff is root cause.,1613441,"@494971 We're sorry for the wait, John. Our crew is rushing to get to your flight and will send you on your way.",Sun Nov 05 12:35:12 +0000 2017,Sun Nov 05 12:45:01 +0000 2017,general_other,False
885312,@AmericanAir flight on hold because of tray not staying up? Was told the flight isn’t even full? Wtf!!!! Flight #aa4738 to philly. Unreal!!!,flight_disruption,auto,flight_disruption,auto,,Mechanical hold (tray table).,885310,@330221 We're truly sorry for the delay of your flight this evening. We'll have you wheels up shortly.,Fri Oct 20 21:40:12 +0000 2017,Fri Oct 20 22:11:27 +0000 2017,flight_disruption,True
552837,@AmericanAir Same goes for the person who approves the design,general_other,auto,general_other,auto,,"Fragment, thread-dependent.",552835,@248929 Your comfort is very important to us and we're always looking for ways to improve our customer experience. We appreciate the feedback.,Sat Dec 02 19:36:15 +0000 2017,Sat Dec 02 19:44:43 +0000 2017,general_other,True
