text_customer,intent,drafted_reply,predicted_escalation,escalation_reason,true_escalation,escalation_correct,text_reply,judge_score
Any airlines having #blackfriday deals?? @Delta @116450 @AmericanAir @120910 @VirginAtlantic @British_Airways,general_other,"We recommend keeping an eye on our website, aa.com, for any upcoming promotions!",auto,Intent 'general_other' is typically self-contained (info/apology/praise response),auto,True,@271298 Contact our Reservations Team at 800-433-7300 for the lowest fares we have available.,3.0
Landing On My @AmericanAir Flight At Boston's Logan Airport.Smooth On Time https://t.co/BiVMvzLX8f It! https://t.co/cQ9O1it3fC,seating_booking,@[customer's twitter handle] We're so glad you had a smooth and on-time flight! Thanks for sharing this great shot with us. #AmericanView ✈️,auto,Intent 'seating_booking' is typically self-contained (info/apology/praise response),escalate,False,@258150 You always capture such stellar shots of your #AmericanView. We love to see them.,5.0
I'm trying MCE on my next @AmericanAir flight from RDU to PHL on A319. Can't wait!,praise,We hope you enjoy it!,auto,Intent 'praise' is typically self-contained (info/apology/praise response),auto,True,@329959 We look forward to welcoming you on board!,3.0
@AmericanAir has a serious employee culture problem. #dontflyamericanairlines,staff_complaint,"We're sorry to hear this, and want to assure you that this is not the experience we want for our customers. Can you please send us a DM with more details so we can look into this?",escalate,Intent 'staff_complaint' historically required individual case handling by AA agents,escalate,True,"@496130 We count on our employees to always be helpful, courteous, and treat people with respect. Is there anything we can help with?",4.0
"@AmericanAir They wouldn't hold the plane for 3 minutes when I ran over there from K10 to K8. Door was already closed. Had to spend the night in CHI after waiting on  a long, slow Customer Service line. Instead of getting home 10pm ET FRI, I got back 4pm ET on SAT. Unacceptable. Very poor.",staff_complaint,"We're sorry to hear about your experience and the inconvenience this caused. Please DM us your record locator, and we'll review what happened.",escalate,Intent 'staff_complaint' historically required individual case handling by AA agents,escalate,True,"@296013 We're so sorry, we aren't always able to hold flights due to the domino effect it can have. If you send us a DM, we'll take a closer look.",4.0
@AmericanAir great flight 1620 Denver to Dallas Kelly great flight attendant really professional. Thx,praise,"@668501 Way to go, Kelly! We'll be sure to pass along the kudos. #AATeam",auto,Intent 'praise' is typically self-contained (info/apology/praise response),auto,True,"@668501 Way to go, Kelly! We'll be sure to pass along the kudos. #AATeam",5.0
@AmericanAir Not a good time for your canned remarks. Lines are long. People are frustrated and your PHL employees are always rude.,baggage_issue,"We understand how frustrating long lines and perceived rudeness can be. We expect our team to treat everyone with respect, and we apologize if this wasn't your experience. If you'd like to share more details about your PHL experience, please DM us.",escalate,Intent 'baggage_issue' historically required individual case handling by AA agents,escalate,True,@654361 We expect our team to treat everyone with respect. We're sorry if this wasn't the case. We completely hear and understand your frustration.,4.0
"Thanks to the crew on @americanair, the nurse, and EMTs at @151271 who took care of me when I needed it last night.",praise,"So glad to hear you were well taken care of! We hope you're feeling better. If you’d like to share more details with us, please follow and DM us.",escalate,Reply requires customer to provide case-specific details (DM/record locator),auto,False,"@567869 We hope you're feeling better, Tanisha. Please follow and share your record locator in DMs and we'll forward this to leadership. #AATeam",4.0
the siren call of in-flight wifi. but alas...productivity prevented. @AmericanAir https://t.co/Y5iGPRt7NB,staff_complaint,We understand your frustration if the in-flight Wi-Fi wasn't working as expected. Please send us a DM with your record locator so we can look into this further.,escalate,Intent 'staff_complaint' historically required individual case handling by AA agents,escalate,True,@225917 Please reach out to our friends at @116462 if you need help.,4.0
@AmericanAir .. landed in Charlotte at 7:11 PM. It’s now 7:52 without any luggage.. or staff in baggage claim.. or belt movement. Hello? https://t.co/PFxh5m9JIl,baggage_issue,We're so sorry for the delay with your luggage. We understand how frustrating this is. Could you please DM us your record locator so we can look into this for you?,escalate,Intent 'baggage_issue' historically required individual case handling by AA agents,auto,False,@117545 We're sorry for the wait tonight. We'll have you bags out to you as soon as possible. https://t.co/vpkBeWiqTq,4.0
"GM @AmericanAir today I am lending you care of my most precious cargo, my 94yr old Grandmother #HandleWithCare
Former .@Delta employee",praise,What an honor! We'll take wonderful care of her. 💛,auto,Intent 'praise' is typically self-contained (info/apology/praise response),auto,True,@403657 She's in #GoodWings with us!,4.0
@AmericanAir never fails with y’all boy I swear,general_other,"We're sorry to hear this, and we'd like to help. Can you tell us more about what's happening?",auto,Intent 'general_other' is typically self-contained (info/apology/praise response),escalate,False,"@711239 We're sensing some frustration, Jalen. What's going on? How can we help you?",4.0
@AmericanAir 5 agents at priority desk without a single customer. Long line at main desk. Why not use idle agents to serve customers? #bad,staff_complaint,We're sorry to hear about your experience. This is certainly not what we want for our customers. Could you please DM us your record locator and the airport you're at so we can look into this further?,escalate,Intent 'staff_complaint' historically required individual case handling by AA agents,escalate,True,@182788 Our apologies on the extra wait time. We'll have you checked in as soon as we can. Thanks for your patience.,4.0
thank you @AmericanAir for putting me on a new flight! I will make home on-time to see my daughter! beyond grateful!,flight_disruption,"We're so glad we could help, and that you'll be home to see your daughter! Safe travels!",auto,Intent 'flight_disruption' is typically self-contained (info/apology/praise response),escalate,False,@313097 We appreciate you flying with us and know how important it is to see your kids. Have a great visit!,5.0
"@122128 has awful baggage service. 30 min after my @AmericanAir flight parks, still no bag. 👎#Lackluster #Slacking",refund_compensation,We're sorry to hear about the delay with your bag. Please DM us with your record locator so we can look into this for you.,escalate,Intent 'refund_compensation' historically required individual case handling by AA agents,escalate,True,"@371798 What? You still haven't received your bag. We don't mind looking and getting an update. Send us a quick DM with your record locator, please.",5.0
@AmericanAir I lost  $5k in business due to delays &amp; cancellations of my flight. I was supposed to be home 10/22. Didn't get home till 10/25,praise,We understand your frustration and sincerely apologize for the significant disruption to your travel plans. Please follow us so we can send you a DM and gather more details.,escalate,Reply requires customer to provide case-specific details (DM/record locator),auto,False,@425838 Our sincere apologies for the disruptions to your travels. We'd like to look into this a little further. Please follow so we can DM.,4.0
This is going to be the second plane I have to get off because something is wrong w/@AmericanAir planes.! #NEVERAGAIN #AA5 #AmericanAirlines,staff_complaint,We're sorry to hear about the trouble with your flight. Please send us a direct message with your record locator so we can look into this for you.,escalate,Intent 'staff_complaint' historically required individual case handling by AA agents,escalate,True,@424175 We see you've been rebooked for the next available option. We're so sorry for the cancellation this evening.,3.0
